Movie_Title,Release_Year,Production_Company_Name,Company_Name_(Wikipedia),Company_HQ,Company_Founded_Year
Peace on Earth,1939,Harman-Ising Productions,Harman and Ising,"Los Angeles, California, United States",1929
Peace on Earth,1939,MGM Cartoons,Metro-Goldwyn-Mayer cartoon studio,"Overland and Montana Avenue[1][2][3], Culver City, California, United States",1937
She Married a Cop,1939,Republic Pictures,Republic Pictures,"Studio City, Los Angeles, California",1935
Swanee River,1939,20th Century-Fox,20th Century-Fox,,
The Man in the Iron Mask,1939,Edward Small Productions,Edward Small Productions,,
The Pointer,1939,Walt Disney Productions,Walt Disney Animation Studios,"2100 West Riverside Drive, Burbank, California, U.S.",1923
They Shall Have Music,1939,Samuel Goldwyn Productions,Samuel Goldwyn Productions,United States,1923
Way Down South,1939,Sol Lesser Productions,Sol Lesser Productions,,
Young Mr. Lincoln,1939,Cosmopolitan Productions,,,
Rebecca,1940,Selznick International Pictures,,,
The Thief of Bagdad,1940,London Films,London Films,Buckinghamshire,1932
The Philadelphia Story,1940,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,"Beverly Hills, California, United States",1924
Pinocchio,1940,Walt Disney Productions,The Walt Disney Company,"The Walt Disney Studios, Burbank, California, United States",1923
North West Mounted Police,1940,Paramount Pictures,Paramount Pictures,"5555 Melrose Avenue, Hollywood, Los Angeles, California, U.S.",1912
"Arise, My Love",1940,Paramount Pictures,Paramount Pictures,"5555 Melrose Avenue, Hollywood, Los Angeles, California, U.S.",1912
Strike Up the Band,1940,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,"Beverly Hills, California, United States",1924
The Westerner,1940,Samuel Goldwyn Productions,Samuel Goldwyn Productions,United States,1923
Pride and Prejudice,1940,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,"Beverly Hills, California, United States",1924
"Teddy, the Rough Rider",1940,Warner Bros.,Warner Bros.,"4000 Warner Blvd., Burbank, California, US",1923
The Great McGinty,1940,Paramount Pictures,Paramount Pictures,"5555 Melrose Avenue, Hollywood, Los Angeles, California, U.S.",1912
The Milky Way,1940,MGM cartoon studio,Metro-Goldwyn-Mayer cartoon studio,"Overland and Montana Avenue[1][2][3], Culver City, California, United States",1937
The Milky Way,1940,Rudolf Ising Productions,Harman and Ising,"Los Angeles, California, United States",1929
Foreign Correspondent,1940,Walter Wanger Productions,Walter Wanger,,
Our Town,1940,Sol Lesser Productions,Sol Lesser Productions,,
The Long Voyage Home,1940,Argosy Corporation,John Ford,,
The Great Dictator,1940,Charles Chaplin Film Corporation,Charlie Chaplin,,
Spring Parade,1940,Universal Studios,Universal Studios,,
"All This, and Heaven Too",1940,A Warner Bros. – First National Picture,Warner Bros.,"4000 Warner Blvd., Burbank, California, US",1923
"All This, and Heaven Too",1940,An Anatole Litvak Production,Anatole Litvak,,
My Favourite Wife,1940,RKO Radio Pictures,RKO Pictures,"1270 Avenue of the Americas, New York City, New York",1929
Abe Lincoln in Illinois,1940,RKO Radio Pictures,RKO Radio Pictures,,
Arizona,1940,Columbia Pictures,Columbia Pictures,,
Bitter Sweet,1940,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,"Beverly Hills, California, United States",1924
Boom Town,1940,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,"Beverly Hills, California, United States",1924
Dark Command,1940,Republic Pictures,Republic Pictures,,
Hit Parade of 1941,1940,Republic Pictures,Republic Pictures,"Studio City, Los Angeles, California",1935
One Million B.C.,1940,Hal Roach Studios,Hal Roach Studios,"Culver City, California, United States",1914
Second Chorus,1940,Paramount Pictures,Paramount Pictures,"5555 Melrose Avenue, Hollywood, Los Angeles, California, U.S.",1912
The Blue Bird,1940,Twentieth Century-Fox Film Corporation,20th Century Studios,"Fox Studio Lot Building 88, 10201 West Pico Boulevard, Century City, Los Angeles, California, United States",1935
Waterloo Bridge,1940,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,"Beverly Hills, California, United States",1924
A Wild Hare,1940,Leon Schlesinger Productions,Warner Bros. Cartoons,"Los Angeles, California, U.S. (1932–1956)Burbank, California, U.S. (1956–1963)",1932
Angels Over Broadway,1940,Columbia Pictures,Columbia Pictures,"Thalberg Building, 10202 West Washington Boulevard, Culver City, California, U.S.",1918
Behind the News,1940,Republic Pictures,Republic Pictures,"Studio City, Los Angeles, California",1935
Captain Caution,1940,Hal Roach Studios,Hal Roach Studios,,
Comrade X,1940,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,"Beverly Hills, California, United States",1924
Dr. Cyclops,1940,Paramount Pictures,Paramount Pictures,"5555 Melrose Avenue, Hollywood, Los Angeles, California, U.S.",1912
"Edison, the Man",1940,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,"Beverly Hills, California, United States",1924
Lillian Russell,1940,20th Century Fox,20th Century Fox,,
London Can Take It!,1940,GPO Film Unit,,,
"My Son, My Son!",1940,Edward Small Productions,Edward Small Productions,,
Northwest Passage,1940,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,"Beverly Hills, California, United States",1924
Puss Gets the Boot,1940,MGM Cartoons,Metro-Goldwyn-Mayer cartoon studio,"Overland and Montana Avenue[1][2][3], Culver City, California, United States",1937
Puss Gets the Boot,1940,Rudolf Ising Productions,Harman and Ising,"Los Angeles, California, United States",1929
Rhythm on the River,1940,Paramount Pictures,Paramount Pictures,"5555 Melrose Avenue, Hollywood, Los Angeles, California, U.S.",1912
Swiss Family Robinson,1940,The Play's The Thing Productions,The Play's The Thing Productions,,
The Fight for Life,1940,United States Film Service,,,
The House of the Seven Gables,1940,Universal Pictures Co.,Universal Pictures,"10 Universal City Plaza, Universal City, California, U.S.",1912
The House of the Seven Gables,1940,[2],,,
The Invisible Man Returns,1940,Universal Pictures,Universal Pictures,"10 Universal City Plaza, Universal City, California, U.S.",1912
The Invisible Man Returns,1940,[2],,,
They Knew What They Wanted,1940,RKO Radio Pictures,RKO Pictures,"1270 Avenue of the Americas, New York City, New York",1929
Too Many Husbands,1940,Columbia Pictures,Columbia Pictures,"Thalberg Building, 10202 West Washington Boulevard, Culver City, California, U.S.",1918
Typhoon,1940,Paramount Pictures,Paramount Pictures,,
You'll Find Out,1940,RKO Radio Pictures,RKO Pictures,"1270 Avenue of the Americas, New York City, New York",1929
How Green Was My Valley,1941,Twentieth Century Fox,20th Century Studios,"Fox Studio Lot Building 88, 10201 West Pico Boulevard, Century City, Los Angeles, California, United States",1935
Sergeant York,1941,Warner Bros.,Warner Bros.,"4000 Warner Blvd., Burbank, California, US",1923
Here Comes Mr. Jordan,1941,Columbia Pictures,Columbia Pictures,"Thalberg Building, 10202 West Washington Boulevard, Culver City, California, U.S.",1918
Citizen Kane,1941,RKO Radio Pictures,RKO Pictures,"1270 Avenue of the Americas, New York City, New York",1929
Citizen Kane,1941,Mercury Productions,Mercury Theatre,,
Blossoms in the Dust,1941,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,"Beverly Hills, California, United States",1924
That Hamilton Woman,1941,London Films,London Films,Buckinghamshire,1932
Suspicion,1941,RKO Radio Pictures,RKO Pictures,"1270 Avenue of the Americas, New York City, New York",1929
Blood and Sand,1941,20th Century Fox,20th Century Studios,"Fox Studio Lot Building 88, 10201 West Pico Boulevard, Century City, Los Angeles, California, United States",1935
Dumbo,1941,Walt Disney Productions,Walt Disney Animation Studios,"2100 West Riverside Drive, Burbank, California, U.S.",1923
Churchill's Island,1941,National Film Board of Canada,National Film Board of Canada,"Montreal, Quebec, Canada",1939
Churchill's Island,1941,Montreal,Montreal,,1642
I Wanted Wings,1941,Paramount Pictures,Paramount Pictures,"5555 Melrose Avenue, Hollywood, Los Angeles, California, U.S.",1912
Lady Be Good,1941,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,"Beverly Hills, California, United States",1924
Lend a Paw,1941,Walt Disney Productions,Walt Disney Animation Studios,"2100 West Riverside Drive, Burbank, California, U.S.",1923
The Great Lie,1941,Warner Bros.,Warner Bros.,"4000 Warner Blvd., Burbank, California, US",1923
The Little Foxes,1941,Samuel Goldwyn Productions,Samuel Goldwyn Productions,United States,1923
Hold Back the Dawn,1941,Paramount Pictures,Paramount Pictures,"5555 Melrose Avenue, Hollywood, Los Angeles, California, U.S.",1912
Ball of Fire,1941,Samuel Goldwyn Productions,Samuel Goldwyn Productions,United States,1923
Dr. Jekyll and Mr. Hyde,1941,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,"Beverly Hills, California, United States",1924
Sun Valley Serenade,1941,Twentieth Century Fox,20th Century Studios,"Fox Studio Lot Building 88, 10201 West Pico Boulevard, Century City, Los Angeles, California, United States",1935
Sundown,1941,Walter Wanger Productions,Walter Wanger,,
The Chocolate Soldier,1941,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,"Beverly Hills, California, United States",1924
The Maltese Falcon,1941,Warner Bros.,Warner Bros.,"4000 Warner Blvd., Burbank, California, US",1923
All-American Co-Ed,1941,"Hal Roach Studios, Inc.",Hal Roach Studios,"Culver City, California, United States",1914
Aloma of the South Seas,1941,Paramount Pictures,Paramount Pictures,"5555 Melrose Avenue, Hollywood, Los Angeles, California, U.S.",1912
Buck Privates,1941,Universal Pictures,Universal Pictures,"10 Universal City Plaza, Universal City, California, U.S.",1912
Dive Bomber,1941,Warner Bros.,Warner Bros.,"4000 Warner Blvd., Burbank, California, US",1923
Ladies in Retirement,1941,Columbia Pictures,Columbia Pictures,"Thalberg Building, 10202 West Washington Boulevard, Culver City, California, U.S.",1918
Louisiana Purchase,1941,Paramount Pictures,Paramount Pictures,"5555 Melrose Avenue, Hollywood, Los Angeles, California, U.S.",1912
The Devil and Miss Jones,1941,Frank Ross-Norma Krasna,Frank Ross-Norma Krasna,,
Topper Returns,1941,Hal Roach Studios,Hal Roach Studios,"Culver City, California, United States",1914
You'll Never Get Rich,1941,Columbia Pictures,Columbia Pictures,"Thalberg Building, 10202 West Washington Boulevard, Culver City, California, U.S.",1918
A Letter from Home,1941,Twentieth Century-Fox,20th Century Studios,"Fox Studio Lot Building 88, 10201 West Pico Boulevard, Century City, Los Angeles, California, United States",1935
A Place to Live,1941,Documentary Film Productions for the Philadelphia Housing Association,Documentary Film Productions for the Philadelphia Housing Association,,
A Yank in the R.A.F.,1941,Twentieth Century Fox,20th Century Studios,"Fox Studio Lot Building 88, 10201 West Pico Boulevard, Century City, Los Angeles, California, United States",1935
Adventure in the Bronx,1941,New York Zoological Society,Wildlife Conservation Society,"Bronx Zoo Bronx, New York, United States",
Adventure in the Bronx,1941,[1],,,
Appointment for Love,1941,Universal Pictures,Universal Pictures,"10 Universal City Plaza, Universal City, California, U.S.",1912
Back Street,1941,Universal Pictures,Universal Pictures,"10 Universal City Plaza, Universal City, California, U.S.",1912
Billy the Kid,1941,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,"Beverly Hills, California, United States",1924
Birth of the Blues,1941,Paramount Pictures,Paramount Pictures,"5555 Melrose Avenue, Hollywood, Los Angeles, California, U.S.",1912
Blues in the Night,1941,Warner Bros.,Warner Bros.,"4000 Warner Blvd., Burbank, California, US",1923
Bomber: A Defense Report on Film,1941,United States Office for Emergency Management Film Unit,United States Office for Emergency Management Film Unit,,
Cheers for Miss Bishop,1941,Richard A. Rowland Productions,Richard A. Rowland Productions,,
Christmas Under Fire,1941,Crown Film Unit,,,
Down on the Farm,1941,Paramount Pictures,Paramount Pictures,"5555 Melrose Avenue, Hollywood, Los Angeles, California, U.S.",1912
Flight Command,1940,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,"Beverly Hills, California, United States",1924
Hiawatha's Rabbit Hunt,1941,Leon Schlesinger Productions,Warner Bros. Cartoons,"Los Angeles, California, U.S. (1932–1956)Burbank, California, U.S. (1956–1963)",1932
Ice-Capades,1941,Republic Pictures,Republic Pictures,"Studio City, Los Angeles, California",1935
King of the Zombies,1941,"Sterling Productions, Inc.","Sterling Productions, Inc.",,
Las Vegas Nights,1941,Paramount Pictures,Paramount Pictures,"5555 Melrose Avenue, Hollywood, Los Angeles, California, U.S.",1912
Lydia,1941,London Films,London Films,Buckinghamshire,1932
Meet John Doe,1941,Frank Capra Productions,Frank Capra,,
Mercy Island,1941,Republic Pictures,Republic Pictures,"Studio City, Los Angeles, California",1935
Night Train to Munich,1940,20th Century Productions,20th Century Productions,,
Norway in Revolt,1941,Time Inc.,Time Inc.,"225 Liberty Street, New York City, U.S.",1922
One Foot in Heaven,1941,Warner Bros.,Warner Bros.,"4000 Warner Blvd., Burbank, California, US",1923
Penny Serenade,1941,Columbia Pictures,Columbia Pictures,"Thalberg Building, 10202 West Washington Boulevard, Culver City, California, U.S.",1918
Rhapsody in Rivets,1941,Leon Schlesinger Productions,Warner Bros. Cartoons,"Los Angeles, California, U.S. (1932–1956)Burbank, California, U.S. (1956–1963)",1932
Ridin' on a Rainbow,1941,Republic Pictures,Republic Pictures,"Studio City, Los Angeles, California",1935
Sis Hopkins,1941,Republic Pictures,Republic Pictures,"Studio City, Los Angeles, California",1935
Skylark,1941,Paramount Pictures,Paramount Pictures,"5555 Melrose Avenue, Hollywood, Los Angeles, California, U.S.",1912
So Ends Our Night,1941,David L. Loew-Albert Lewin Productions,David L. Loew-Albert Lewin Productions,,
Sunny,1941,Suffolk Productions,Suffolk Productions,,
Superman,1941,Fleischer Studios,Fleischer Studios,"Broadway, New York City, New York, U.S. (1929–1938)",1929
"Tall, Dark and Handsome",1941,20th Century Fox,20th Century Studios,"Fox Studio Lot Building 88, 10201 West Pico Boulevard, Century City, Los Angeles, California, United States",1935
Tanks a Million,1941,Hal Roach Studios,Hal Roach Studios,"Culver City, California, United States",1914
That Uncertain Feeling,1941,Ernst Lubitsch Productions,Ernst Lubitsch Productions,,
That Uncertain Feeling,1941,Sol Lesser Productions,Sol Lesser Productions,,
The Devil Pays Off,1941,Republic Pictures,Republic Pictures,"Studio City, Los Angeles, California",1935
The Flame of New Orleans,1941,Universal Pictures,Universal Pictures,"10 Universal City Plaza, Universal City, California, U.S.",1912
The Invisible Woman,1940,Universal Pictures Co.,Universal Pictures,"10 Universal City Plaza, Universal City, California, U.S.",1912
The Invisible Woman,1940,[2],,,
The Lady Eve,1941,Paramount Pictures,Paramount Pictures,"5555 Melrose Avenue, Hollywood, Los Angeles, California, U.S.",1912
The Men in Her Life,1941,Gregory Ratoff Productions,Gregory Ratoff Productions,,
The Night Before Christmas,1941,MGM Cartoons,Metro-Goldwyn-Mayer cartoon studio,"Overland and Montana Avenue[1][2][3], Culver City, California, United States",1937
The Rookie Bear,1941,MGM Cartoons,Metro-Goldwyn-Mayer cartoon studio,"Overland and Montana Avenue[1][2][3], Culver City, California, United States",1937
The Sea Wolf,1941,Warner Bros.,Warner Bros.,"4000 Warner Blvd., Burbank, California, US",1923
The Son of Monte Cristo,1940,Edward Small Productions,Edward Small Productions,,
The Strawberry Blonde,1941,Warner Bros.,Warner Bros.,"4000 Warner Blvd., Burbank, California, US",1923
This Woman Is Mine,1941,Frank Lloyd Productions,Frank Lloyd Productions,,
"Tom, Dick and Harry",1941,RKO Radio Pictures,RKO Pictures,"1270 Avenue of the Americas, New York City, New York",1929
Truant Officer Donald,1941,Walt Disney Productions,The Walt Disney Company,"The Walt Disney Studios, Burbank, California, United States",1923
War Clouds in the Pacific,1941,National Film Board of Canada,National Film Board of Canada,"Montreal, Quebec, Canada",1939
When Ladies Meet,1941,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,"Beverly Hills, California, United States",1924
Fantasia,1940,Walt Disney Productions,The Walt Disney Company,"The Walt Disney Studios, Burbank, California, United States",1923
Target for Tonight,1941,Crown Film Unit,,,
